variable,appears_global_all,appears_global_in,appears_global_out,max_imp_global_all_any_outcome,max_imp_global_in_any_outcome,max_imp_global_out_any_outcome,best_rank_any,max_importance_any,n_topk_slices,n_framework_groups_topk,n_contexts_topk,any_top1,any_top3,topk_frameworks_robust,topk_contexts_robust,global_locations_robust,pisa_locations_robust,mlftau_locations_robust,mechanism_profile,pisa_profile,pisa_ict_in_profile,pisa_ict_out_profile,mlftau_profile,carry_forward_rationale,candidate_score
stdv_curiosity_agreement,TRUE,TRUE,TRUE,0.2232229,0.300273691,0.394278854,1,1,41,3,3,TRUE,TRUE,Global_AllPredictors; Global_InSchool; Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,All; InSchool; OutOfSchool,,domain=input; domain=input | construct=context_general_social_and_emotional_characteristics; domain=process; domain=process | construct=context_creative_thinking; domain=process | construct=context_general_social_and_emotional_characteristics,domain=individual | construct=user_attributes,MLFTAU: Individual | User Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input; Process | General Social and Emotional Characteristics; Creative Thinking,PISA: Input; Process | General Social and Emotional Characteristics; Creative Thinking,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual | User Attributes,Peak salience (rank 1) in at least one framework/context slice,11.5291132
stdv_ict_resources,TRUE,FALSE,TRUE,1,0,1,1,1,21,3,2,TRUE,TRUE,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,,domain=context; domain=context | construct=context_economic_social_and_cultural_status; domain=input; domain=input | construct=context_economic_social_and_cultural_status,domain=organisation_family | construct=environment_attributes,"MLFTAU: Organisation/Family | Facilitating Conditions; Technology Attributes; Environment Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Input | Access to ICT Resources for Learning | Device Availability; Internet Access; Educational Software; Digital Platforms; PISA: Context; Input | Economic, Social, and Cultural Status","PISA: Context; Input | Economic, Social, and Cultural Status",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Input | Access to ICT Resources for Learning | Device Availability; Internet Access; Educational Software; Digital Platforms,MLFTAU: Organisation/Family | Facilitating Conditions; Technology Attributes; Environment Attributes,High total salience in Global all-predictors baseline,10.1
icdv_ict_self_efficacy,TRUE,TRUE,TRUE,0.185954898,0.259123755,0.26913183,1,1,32,3,3,TRUE,TRUE,Global_AllPredictors; Global_InSchool; Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,All; InSchool; OutOfSchool,,domain=input; domain=input | construct=context_general_social_and_emotional_characteristics,domain=individual | construct=user_attributes; domain=output | construct=user_attributes,MLFTAU: Individual; Output | User Attributes; Cognitive Learning Outcomes; PISA_ICT_In: Output | Cognitive Learning Outcomes; Students' Engagement with Learning through ICT; PISA_ICT_Out: Output | Students' ICT Competencies and Digital Literacy | Functional Skills; Creative Digital Competencies; Communication and Collaboration Skills; PISA: Input | General Social and Emotional Characteristics,PISA: Input | General Social and Emotional Characteristics,PISA_ICT_In: Output | Cognitive Learning Outcomes; Students' Engagement with Learning through ICT,PISA_ICT_Out: Output | Students' ICT Competencies and Digital Literacy | Functional Skills; Creative Digital Competencies; Communication and Collaboration Skills,MLFTAU: Individual; Output | User Attributes; Cognitive Learning Outcomes,Peak salience (rank 1) in at least one framework/context slice,9.998064178
stdv_emotional_control_agreement,TRUE,TRUE,TRUE,0.092027339,0.131298658,0.20892412,1,1,34,3,2,TRUE,TRUE,Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,,domain=input; domain=input | construct=context_general_social_and_emotional_characteristics; domain=process; domain=process | construct=context_general_social_and_emotional_characteristics; domain=process | construct=context_health_and_well_being,domain=individual | construct=user_attributes,MLFTAU: Individual | User Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input; Process | General Social and Emotional Characteristics; Health and Well-Being,PISA: Input; Process | General Social and Emotional Characteristics; Health and Well-Being,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual | User Attributes,Peak salience (rank 1) in at least one framework/context slice,9.896965128
st_total_class_periods_per_week,TRUE,TRUE,FALSE,1,1,0,1,1,18,3,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=input; domain=input | construct=context_organisation_of_student_learning_at_school,domain=organisation_school | construct=events_time; domain=organisation_school | construct=organisation_attributes,MLFTAU: Organisation/School | Organisation Attributes; Events Time; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input | Organisation of Student Learning at School,PISA: Input | Organisation of Student Learning at School,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes; Events Time,High total salience in Global all-predictors baseline,9.65
stdv_escs_index,TRUE,FALSE,TRUE,0.547475984,0,0.748323074,1,1,24,3,2,TRUE,TRUE,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,,domain=context; domain=context | construct=context_economic_social_and_cultural_status; domain=input; domain=input | construct=context_economic_social_and_cultural_status,domain=organisation_family | construct=environment_attributes; domain=organisation_family | construct=organisation_attributes,"MLFTAU: Organisation/Family | Organisation Attributes; Environment Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Context; Input | Economic, Social, and Cultural Status","PISA: Context; Input | Economic, Social, and Cultural Status",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/Family | Organisation Attributes; Environment Attributes,Peak salience (rank 1) in at least one framework/context slice,9.61953705
sc_num_data_projectors,TRUE,TRUE,FALSE,0.202063847,0.281142241,0,1,1,29,3,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=context; domain=context | construct=context_school_type_and_infrastructure; domain=input; domain=input | construct=context_school_type_and_infrastructure; domain=input | construct=hardware_and_software_availability,domain=organisation_school | construct=facilitating_conditions; domain=organisation_school | construct=organisation_attributes; domain=organisation_school | construct=technology_attributes,MLFTAU: Organisation/School | Organisation Attributes; Facilitating Conditions; Technology Attributes; PISA_ICT_In: Input | Hardware and Software Availability; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input; Context | School Type and Infrastructure,PISA: Input; Context | School Type and Infrastructure,PISA_ICT_In: Input | Hardware and Software Availability,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes; Facilitating Conditions; Technology Attributes,Peak salience (rank 1) in at least one framework/context slice,9.384238012
scdv_total_math_teachers,TRUE,TRUE,FALSE,0.893140158,0.889561219,0,1,1,18,3,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=input; domain=input | construct=context_exposure_to_mathematics_content; domain=input | construct=context_school_type_and_infrastructure,domain=organisation_school | construct=organisation_attributes,MLFTAU: Organisation/School | Organisation Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input | Exposure to Mathematics Content; School Type and Infrastructure,PISA: Input | Exposure to Mathematics Content; School Type and Infrastructure,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes,High total salience in Global all-predictors baseline,9.379271457
icdv_ict_access_quality,TRUE,TRUE,FALSE,0.070015014,0.101830313,0,1,1,33,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=context; domain=context | construct=context_school_type_and_infrastructure; domain=input; domain=input | construct=context_school_type_and_infrastructure; domain=input | construct=hardware_and_software_availability; domain=input | construct=school_ict_infrastructure,domain=individual | construct=technology_attributes; domain=individual | construct=user_attributes; domain=organisation_school | construct=facilitating_conditions; domain=organisation_school | construct=technology_attributes; domain=organisation_school | construct=user_attributes,"MLFTAU: Organisation/School; Individual | Facilitating Conditions; Technology Attributes; User Attributes; PISA_ICT_In: Context; Input | School ICT Infrastructure; Hardware and Software Availability; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input; Context | School Type and Infrastructure; Economic, Social, and Cultural Status","PISA: Input; Context | School Type and Infrastructure; Economic, Social, and Cultural Status",PISA_ICT_In: Context; Input | School ICT Infrastructure; Hardware and Software Availability,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School; Individual | Facilitating Conditions; Technology Attributes; User Attributes,Peak salience (rank 1) in at least one framework/context slice,9.156852834
icdv_ict_online_practices,TRUE,TRUE,TRUE,0.0766118,0.110184224,0.130379349,1,1,31,2,2,TRUE,TRUE,MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,,domain=process; domain=process | construct=context_general_social_and_emotional_characteristics; domain=process | construct=context_out_of_school_experiences; domain=process | construct=students_engagement_with_learning_through_ict; domain=process | construct=students_use_of_ict_for_self_directed_learning,domain=individual | construct=task_attributes; domain=individual | construct=user_attributes,"MLFTAU: Individual | User Attributes; Task Attributes; PISA_ICT_In: Process | Students' Engagement with Learning through ICT; PISA_ICT_Out: Process | Students' Use of ICT for Self-Directed Learning | Accessing/Sharing Information, Content Creation; PISA: Process | General Social and Emotional Characteristics; Out-of-School Experiences",PISA: Process | General Social and Emotional Characteristics; Out-of-School Experiences,PISA_ICT_In: Process | Students' Engagement with Learning through ICT,"PISA_ICT_Out: Process | Students' Use of ICT for Self-Directed Learning | Accessing/Sharing Information, Content Creation",MLFTAU: Individual | User Attributes; Task Attributes,Peak salience (rank 1) in at least one framework/context slice,9.095297048
